#  aims_uuid : 222F905C-D19D-4B41-A54F-3F46AF5E1A00                                
# Angular momentum resolved density for species Sbas calculated by FHI-aims
# The energy reference for this output is the chemical potential, mu =       -4.780076 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -19.55185750        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.54785710        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.54385670        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.53985630        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.53585590        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.53185550        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.52785510        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.52385470        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.51985430        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.51585390        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.51185350        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.50785310        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.50385270        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.49985230        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.49585190        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
